Order,Property Id,Property Name,Parent Property Id,Parent Property Name,BBL - 10 digits,"NYC Borough, Block and Lot (BBL) self-reported",NYC Building Identification Number (BIN),Address 1 (self-reported),Address 2,Postal Code,Street Number,Street Name,Borough,DOF Gross Floor Area,Primary Property Type - Self Selected,List of All Property Use Types at Property,Largest Property Use Type,Largest Property Use Type - Gross Floor Area (ft²),2nd Largest Property Use Type,2nd Largest Property Use - Gross Floor Area (ft²),3rd Largest Property Use Type,3rd Largest Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings - Self-reported,Occupancy,Metered Areas (Energy),Metered Areas  (Water),ENERGY STAR Score,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Source EUI (kBtu/ft²),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),District Steam Use (kBtu),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Source EUI (kBtu/ft²),Release Date,Water Required?,DOF Benchmarking Submission Status,Latitude,Longitude,Community Board,Council District,Census Tract,NTA
1,13286,201/205,13286,201/205,1013160001,1013160001,1037549,201/205  East  42nd  st.,Not Available,10017,675,3 AVENUE,Manhattan,289356,Office,Office,Office,293447,Not Available,Not Available,Not Available,Not Available,1963,2,100,Whole Building,Not Available,Not Available,305.6,303.1,37.8,Not Available,614.2,Not Available,Not Available,Not Available,Not Available,Not Available,5.15506751E7,Not Available,Not Available,38139374.2,1.10827705E7,6962.2,0,6962.2,762051,Not Available,Not Available,619.4,05/01/2017 17:32:03,No,In Compliance,40.750791,-73.973963,6,4,88,Turtle Bay-East Midtown
2,28400,NYP Columbia (West Campus),28400,NYP Columbia (West Campus),1021380040,1-02138-0040,1084198; 1084387;1084385; 1084386; 1084388; 1084389; 1807867; 1809824,622 168th Street,Not Available,10032,180,FT WASHINGTON AVENUE,Manhattan,3693539,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),3889181,Not Available,Not Available,Not Available,Not Available,1969,12,100,Whole Building,Whole Building,55,229.8,228.8,24.8,2.4,401.1,Not Available,1.96248472E7,Not Available,Not Available,Not Available,-3.914148026E8,933073441,9330734.4,332365924,9.62613121E7,55870.4,51016.4,4854.1,3889181,Not Available,Not Available,404.3,04/27/2017 11:23:27 AM,No,In Compliance,40.841402,-73.942568,12,10,251,Washington Heights South
3,4778226,MSCHoNY North,28400,NYP Columbia (West Campus),1021380030,1-02138-0030,1063380,3975 Broadway,Not Available,10032,3975,BROADWAY,Manhattan,152765,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),231342,Not Available,Not Available,Not Available,Not Available,1924,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,231342,Not Available,Not Available,Not Available,04/27/2017 11:23:27 AM,No,In Compliance,40.840427,-73.940249,12,10,251,Washington Heights South
4,4778267,Herbert Irving Pavilion & Millstein Hospital,28400,NYP Columbia (West Campus),1021390001,1-02139-0001,1087281; 1076746,161 Fort Washington Ave,177 Fort Washington Ave,10032,161,FT WASHINGTON AVENUE,Manhattan,891040,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),1305748,Not Available,Not Available,Not Available,Not Available,1971,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,1305748,Not Available,Not Available,Not Available,04/27/2017 11:23:27 AM,No,In Compliance,40.840746,-73.942854,12,10,255,Washington Heights South
5,4778288,Neuro Institute,28400,NYP Columbia (West Campus),1021390085,1-02139-0085,1063403,710 West 168th Street,Not Available,10032,193,FT WASHINGTON AVENUE,Manhattan,211400,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),179694,Not Available,Not Available,Not Available,Not Available,1932,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,179694,Not Available,Not Available,Not Available,04/27/2017 11:23:27 AM,No,In Compliance,40.841559,-73.942528,12,10,255,Washington Heights South
6,28402,NYP Cornell (East Campus),28402,NYP Cornell (East Campus),1014800001,1-01480-0001,1084781; 1084780,525 East 68th Street,Not Available,10021,1176,YORK AVENUE,Manhattan,2230742,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),2971874,Not Available,Not Available,Not Available,Not Available,1932,12,100,Whole Building,Whole Building,55,359.9,359,8.3,4.8,411.5,Not Available,2.00832154E7,Not Available,Not Available,Not Available,-4.690796909E8,1.4322508769E9,1.43225088E7,86335350.5,2.45508594E7,54429.8,77564.1,-23134.3,2971874,Not Available,Not Available,414.2,04/27/2017 11:23:27 AM,No,In Compliance,40.761395,-73.957726,8,5,116,Lenox Hill-Roosevelt Island
7,4778352,Annex Building & Garage,28402,NYP Cornell (East Campus),1014820040,1-01482-0040,1081252,523 East 70th St,515 East 70th St,10021,512,EAST 71 STREET,Manhattan,245000,Mixed Use Property,Other,Other,245000,Not Available,Not Available,Not Available,Not Available,1932,1,60,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,245000,Not Available,Not Available,Not Available,04/27/2017 11:23:27 AM,Yes,In Compliance,40.765949,-73.953752,8,5,124,Lenox Hill-Roosevelt Island
10,2610789,North Shore Towers,2610789,North Shore Towers,4084890001,4084890001,4456886;4456885;4453535;4456888,270-10 Grand Central Parkway,269-271-10 Grand Central Parkway,11005,269,GRAND CENTRAL PKWY,Queens,3750565,Multifamily Housing,"Financial Office, Medical Office, Multifamily Housing, Non-Refrigerated Warehouse, Office, Other, Other - Entertainment/Public Assembly, Other - Public Services, Other - Recreation, Other - Services, Parking, Restaurant, Retail Store, Social/Meeting Hall, Supermarket/Grocery Store, Swimming Pool",Multifamily Housing,2400000,Parking,900000,Other,230200,1974,4,100,Whole Building,Combination of common and tenant areas,Not Available,143974.4,143976,Not Available,1439.7,151174.5,Not Available,1.37367028E7,Not Available,Not Available,Not Available,Not Available,394285242148,3.9428524215E9,Not Available,Not Available,20943400,20943400,0,2738875,107151.5,39.13,151172.9,04/28/2017 07:44:37 AM,Yes,In Compliance,40.757859,-73.715543,13,23,155101,Glen Oaks-Floral Park-New Hyde Park
11,2611745,Towers Golf Course and Irrigation Wells,2610789,North Shore Towers,4084890001,4084890001,4456888,272-86 Grand Central Parkway,Not Available,11005,269,GRAND CENTRAL PKWY,Queens,3750565,Other,Other,Other,200,Not Available,Not Available,Not Available,Not Available,1974,1,100,Whole Building,Not Available,Not Available,1138.3,1091.5,319.9,Not Available,3427.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,227658.1,63979.9,21.1,0,21.1,200,19261.1,96305.69,3574.2,04/28/2017 07:44:37 AM,Yes,In Compliance,40.757859,-73.715543,13,23,155101,Glen Oaks-Floral Park-New Hyde Park
12,3616379,North Shore Towers Bld 1,2610789,North Shore Towers,4084890001,4084890001,4456886,271-10 Grand Central Parkway,Not Available,11005,269,GRAND CENTRAL PKWY,Queens,3750565,Multifamily Housing,Other,Other,2738875,Not Available,Not Available,Not Available,Not Available,1974,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,912892,Not Available,Not Available,Not Available,04/28/2017 07:44:37 AM,Yes,In Compliance,40.757859,-73.715543,13,23,155101,Glen Oaks-Floral Park-New Hyde Park
